name,category,type,theme,value,weight,condition,rarity,description
Filigreed Silver Censer,Temple Decor,area loot,Ancient Temple,25 gp,3 lbs.,Aged,Common,"An ornate silver incense burner suspended by three fine chains, etched with prayers to a forgotten deity."
Carved Obsidian Prayer Beads,Temple Decor,area loot,Ancient Temple,15 gp,0.5 lb.,Pristine,Common,A strand of 108 polished black obsidian beads with a small silver crescent icon at the tassel.
Vellum Holy Manuscript with Gold Leaf,Temple Decor,area loot,Ancient Temple,150 gp,4 lbs.,Fragile,Uncommon,"An ancient theological tome bound in cracked leather, its illuminated script decorated with real gold leaf."
Ivory Icon of an Ancient Deity,Temple Decor,area loot,Ancient Temple,100 gp,1 lb.,Aged,Uncommon,A hand-carved walrus ivory figurine depicting a multi-armed sun god with gemstone-set eyes.
Tarnished Bronze Offering Bowl,Temple Decor,area loot,Ancient Temple,10 gp,2 lbs.,Aged,Common,"A shallow bronze basin with stylized flame carvings around the rim, greened with age patination."
Ceremonial Obsidian Dagger,Temple Relic,area loot,Ancient Temple,50 gp,1 lb.,Pristine,Common,"A razor-sharp ritual knife flaked from jet-black volcanic glass, with a handle wrapped in gilded wire."
Altar Cloth Embroidered with Silver Thread,Temple Decor,area loot,Ancient Temple,35 gp,2 lbs.,Aged,Common,A heavy velvet runner dyed deep indigo and stitched with constellations in tarnished silver thread.
Alabaster Statue Fragment of a Sun Deity,Temple Decor,area loot,Ancient Temple,75 gp,12 lbs.,Damaged,Common,"The finely sculpted bust and face of a radiant deity, broken at the shoulders from a larger monument."
Gilded Incense Burner,Temple Decor,area loot,Ancient Temple,50 gp,4 lbs.,Aged,Common,"A brass censer coated in thin gold foil, pierced with lattice patterns depicting divine celestial rays."
Holy Water Reliquary of Chased Silver,Temple Relic,area loot,Ancient Temple,120 gp,3 lbs.,Pristine,Uncommon,"A sealed cylinder of chased silver designed to hold consecrated water, topped with a crystal stopper."
Chimes of Cast Bronze,Temple Decor,area loot,Ancient Temple,20 gp,5 lbs.,Aged,Common,A set of five tuned bronze wind chimes suspended from a carved mahogany frame.
Stained Glass Rosette Panel Fragment,Temple Decor,area loot,Ancient Temple,45 gp,6 lbs.,Fragile,Common,A lead-framed segment of antique stained glass depicting a haloed saintly figure.
Brazen Sacrificial Basin,Temple Decor,area loot,Ancient Temple,80 gp,25 lbs.,Aged,Common,"A heavy cast brass tripod basin adorned with ram head handles, discolored by ancient ritual fires."
Marble Statuette of a Veiled Priestess,Temple Decor,area loot,Ancient Temple,200 gp,8 lbs.,Pristine,Uncommon,An exquisitely detailed statuette carved from white marble with delicate drapery work.
Gold-Leaf Votive Plaque,Temple Decor,area loot,Ancient Temple,60 gp,1.5 lbs.,Aged,Common,"A bronze tablet covered in thin gold leaf, inscribed with a prayer of gratitude for a miraculous healing."
Prayer Wheel of Engraved Brass,Temple Relic,area loot,Ancient Temple,30 gp,2 lbs.,Aged,Common,A hand-held spinning brass cylinder containing a scroll of repeating sacred mantras.
Jade-Inlaid Ceremonial Gong,Temple Decor,area loot,Ancient Temple,350 gp,18 lbs.,Pristine,Uncommon,"A resonant bronze gong rimmed with small cabochons of green jade, suspended from an oak stand."
Carved Bone Shrine Icon,Temple Relic,area loot,Ancient Temple,15 gp,0.5 lb.,Aged,Common,"A miniature pocket idol carved from a whale rib, representing a patron protector of travelers."
Ornate Silver Candle Snuffer,Temple Decor,area loot,Ancient Temple,12 gp,1 lb.,Aged,Common,A long-handled silver snuffer ending in a hinged cone engraved with holy symbols.
Serpent-Embossed Copper Candelabra,Temple Decor,area loot,Ancient Temple,40 gp,7 lbs.,Aged,Common,A three-armed standing copper candelabra styled like entwined vipers holding candle sockets in their jaws.
Velvet Ritual Robes with Gold Trim,Temple Decor,area loot,Ancient Temple,50 gp,5 lbs.,Fragile,Common,"Ceremonial garments of deep crimson silk velvet with brocaded golden hems, worn by high priests."
Stone Reliquary Box with Lapis Lazuli Inlays,Temple Relic,area loot,Ancient Temple,180 gp,5 lbs.,Pristine,Uncommon,"A small carved soapstone chest inlaid with deep blue lapis lazuli tiles, built to hold sacred relics."
Carved Cedar Altar Screen Fragment,Temple Decor,area loot,Ancient Temple,25 gp,4 lbs.,Aged,Common,A panel of aromatic cedar intricately pierced with floral patterns and holy verses.
Crystal Flask for Anointing Oils,Temple Relic,area loot,Ancient Temple,65 gp,1 lb.,Pristine,Common,"A faceted rock crystal vessel with a silver screw-cap, still faint with the fragrance of myrrh."
Chased Electrum Holy Symbol,Temple Relic,area loot,Ancient Temple,90 gp,1 lb.,Pristine,Uncommon,"A medallion forged from electrum (a gold-silver alloy), detailed with high-relief divine iconography."
Silver Ceremonial Bell,Temple Relic,area loot,Ancient Temple,25 gp,1.5 lbs.,Aged,Common,"A pure silver handbell used during sanctification rites, producing a long clear ring."
Terracotta Votive Vessel,Temple Decor,area loot,Ancient Temple,8 gp,2 lbs.,Aged,Common,A painted earthenware urn used for burning aromatics during morning prayers.
Bronze Altar Lantern with Mica Panes,Temple Decor,area loot,Ancient Temple,35 gp,4 lbs.,Aged,Common,A hanging lantern with sheets of heat-resistant translucent mica instead of glass.
Embossed Brass Libation Bowl,Temple Decor,area loot,Ancient Temple,18 gp,2 lbs.,Aged,Common,A shallow pouring bowl with hammered motifs of grain sheaves and grapevines.
